APOGEE_ID,TELESCOPE,FIELD,SNR,STARFLAG,ASPCAPFLAG,VHELIO_AVG,TEFF,LOGG,FE_H
2M02500321+3959387,apo25m,146-18_btx,138.04979,0,0,-102.20348,4690.053,2.5073178,-0.46716
2M06143501-5533313,lco25m,264-26-O_TESS,228.68558,0,0,79.030846,4238.2817,1.7755518,-0.29019
2M00215136+0315194,apo25m,110-60,154.84734,0,0,4.4425936,6390.3193,4.2071924,-0.10513
2M06133248+3307014,apo25m,180+08,260.93573,0,0,28.666542,4280.3057,1.4316306,-0.58195
2M05473895+4233451,apo25m,169+08,182.45494,0,0,-15.200218,4928.636,2.5443125,-0.19015
2M16332072-1348341,apo25m,M107,217.26169,0,0,-51.422466,4693.092,2.9844432,-0.10438
2M22255120+4911313,apo25m,100-06,243.66835,0,0,-54.72898,4209.206,1.7159398,-0.12156
2M06521152-2325252,lco25m,Berkeley75,319.53665,0,0,49.52428,4768.0107,2.4529426,-0.30868
2M00235967-7145258,lco25m,47TUC,147.54405,0,0,-18.78432,4953.942,2.9408371,-0.73371
2M20471710+4123423,apo25m,083+00,166.57149,0,0,-61.777676,4139.9414,1.5523155,-0.1094
2M04240442+5951071,apo25m,146+08,1511.533,0,0,-11.6838875,4129.9644,1.1151366,-0.61929
2M07494054+4625422,apo25m,174+28_MGA,319.23853,0,0,24.289934,6402.4946,4.1915355,-0.23666
2M18012164-2651008,lco25m,003-03-C,113.15338,0,0,62.405216,3942.3179,1.4902024,0.20206
2M16351357+6616515,apo25m,CVZTILE_096+37_btx,318.5215,0,0,-46.996235,4736.3286,2.4481065,-0.0073438
2M16220802-4200338,lco25m,340+06,238.58447,0,0,-36.12333,4606.299,2.488795,0.15003
2M20012431+4402231,apo25m,K14_080+08,330.5184,0,0,7.3734684,4819.209,2.6922514,-0.21635
2M04473200-7606598,lco25m,289-33-O_TESS,554.1479,0,0,51.678402,4267.4487,1.8798549,-0.061344
2M10530781+5050587,apo25m,159+58_MGA,132.98062,0,0,21.234112,5813.7544,3.9534912,0.05798
2M03440186-1032117,apo25m,200-45,485.45593,0,0,3.2226071,4865.3564,2.4969885,-0.562
2M19264175+3836173,apo25m,K21_071+10,160.86687,0,0,-1.695289,4687.9644,2.411574,0.0090001
2M13031798+2854107,apo25m,056+88_MGA,105.63943,0,0,67.60423,4956.546,1.7119205,-1.1266
2M09354293+3747420,apo25m,186+48,229.60336,0,0,62.730564,6080.8516,3.8956966,-0.12971
2M22175642-4821530,lco25m,JHelum2,228.23149,0,0,-6.0822854,5071.5234,2.6490262,-0.70885
2M11524078-1018322,apo25m,280+49,444.36847,0,0,21.6917,4984.3984,3.2011786,-0.42025
2M17065226+6307303,apo25m,093+36_MGA,183.65518,0,0,-11.472532,4870.5396,2.8720045,-0.18965
2M11254506+2251218,apo25m,222+70_MGA,492.8053,0,0,-27.13918,5922.331,4.0858603,-0.30744
2M04262381-6410044,lco25m,277-40-O_TESS,209.85245,0,0,93.33302,4118.044,1.063617,-0.91461
2M18090780-1536344,lco25m,015+02,206.03505,0,0,-70.74175,4127.387,1.1843936,-0.85889
2M13010652+2814499,apo25m,042+87_MGA,272.59503,0,0,-18.9529,4872.803,3.0978644,-0.20535
2M16124446+6905238,apo25m,CVZTILE_103+38_btx,229.05417,0,0,-20.954834,6500.9185,4.204587,0.068863
2M13180826+1443142,apo25m,325+76,318.46017,0,0,15.58712,4764.3213,2.4041057,-0.27137
2M17445035-0611445,apo25m,020+12,482.39542,0,0,-3.2741783,4078.5146,1.2504587,-0.58195
2M14325877-0525252,apo25m,INTCL_N5634_MGA,219.79109,0,0,-5.072753,4808.9805,2.3558128,-0.40331
2M18033367-4711458,lco25m,345-12,219.76822,0,0,-45.928505,4774.0654,2.4813263,-0.11022
2M17351943-3928492,lco25m,350-04,124.65301,0,0,-73.59187,4689.8003,2.3800788,0.15562
2M20172857+2500356,apo25m,064-06,122.536385,0,0,11.395209,4787.5054,2.5513942,0.0705
2M18570454+5932334,apo25m,CVZ_OB08_btx,247.28088,0,0,-28.77771,4573.761,2.5503242,0.18837
2M22473508+1402195,apo25m,084-40_MGA,220.28355,0,0,-11.043793,4800.256,2.5307925,-0.19271
2M01571413+6106263,apo25m,131+00,240.05363,0,0,-85.26234,4115.3477,1.1627486,-0.67886
2M18373930-2323447,lco25m,M22,571.70886,0,0,-27.04557,4471.156,1.7772655,-0.52074
2M19362744+3819141,apo25m,K20_073+09,291.91125,0,0,-73.13886,3870.8293,1.1108987,-0.27481
2M04575746+6236435,apo25m,146+12,461.43478,0,0,-54.10462,4569.136,1.8973484,-0.36929
2M16090206-6023422,lco25m,326-06,143.64616,0,0,-24.130823,4719.2983,2.5205128,0.11919
2M18553837-3027268,apo25m,M54SGRC1,365.98145,0,0,25.483011,4433.45,2.184111,0.19096
2M20473677-0035585,apo25m,047-26_MGA,194.1811,0,0,21.28541,6254.9272,4.012002,-0.1856
2M21552625+1218275,apo25m,070-32_MGA,169.41936,0,0,-69.760796,4877.029,2.3343506,-0.5473
2M06470809-6629244,lco25m,277-24-O_TESS,145.05402,0,0,14.779108,6059.2134,4.162249,-0.090893
2M05533354+0401588,apo25m,203-12,385.1346,0,0,29.78322,6339.5874,4.159868,0.045256
